panel,battery,reserve,kappa,D,cov,cov_seed,down,min_batt,battery_ok,recovery_ok
12.0,17.0,0.8,0.0,148.9414870295382,0.6,0.59,0.0,10972.290000000005,True,False
12.0,17.0,0.9,0.0,167.45985806452705,0.65,0.5149999999999999,0.0,10972.290000000005,True,False
12.0,17.0,1.0,0.0,1812.1700339843462,0.3,0.43,0.0,10966.310000000001,True,False
12.0,19.0,0.8,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,12972.290000000005,True,False
12.0,19.0,0.9,0.0,145.91547641268983,0.55,0.5799999999999998,0.0,12972.290000000005,True,False
12.0,19.0,1.0,0.0,152.8746745797526,0.45,0.5399999999999999,0.0,12972.290000000005,True,False
12.0,21.0,0.8,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,14972.290000000005,True,False
12.0,21.0,0.9,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,14972.290000000005,True,False
12.0,21.0,1.0,0.00015645152541112292,145.03263047962824,0.55,0.5849999999999999,0.0,14972.290000000005,True,False
12.0,23.0,0.8,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,16972.290000000005,True,False
12.0,23.0,0.9,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,16972.290000000005,True,False
12.0,23.0,1.0,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,16972.290000000005,True,False
13.0,15.0,0.8,0.0,149.29055719998829,0.65,0.59,0.0,8972.289999999995,True,False
13.0,15.0,0.9,0.0,162.75374203458387,0.55,0.525,0.0,8972.289999999995,True,False
13.0,15.0,1.0,0.0,813.9475805682252,0.3,0.45,0.0,8969.259999999997,True,False
13.0,17.0,0.8,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,10972.290000000005,True,False
13.0,17.0,0.9,0.0,147.17541052054517,0.6,0.5799999999999998,0.0,10972.290000000005,True,False
13.0,17.0,1.0,0.0,152.9460962232359,0.5,0.545,0.0,10972.290000000005,True,False
13.0,19.0,0.8,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,12972.290000000005,True,False
13.0,19.0,0.9,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,12972.290000000005,True,False
13.0,19.0,1.0,0.006209256106871561,144.89795320060273,0.55,0.5799999999999998,0.0,12972.290000000005,True,False
13.0,21.0,0.8,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,14972.290000000005,True,False
13.0,21.0,0.9,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,14972.290000000005,True,False
13.0,21.0,1.0,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,14972.290000000005,True,False
13.0,23.0,0.8,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,16972.290000000005,True,False
13.0,23.0,0.9,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,16972.290000000005,True,False
13.0,23.0,1.0,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,16972.290000000005,True,False
14.0,15.0,0.8,0.0,145.24095252184497,0.55,0.5899999999999999,0.0,8972.289999999995,True,False
